ticker,Date,price,volume,return,sharpe_ratio,Predicted_Return,Rank
RCL,2020-06-30,45.25460337063492,23717098.41269841,0.0109376867367216,0.1213325795502158,0.008090917800975213,1
RUTH,2020-12-31,13.53015185890625,795154.90625,0.0082582221365126,0.1875619617569498,0.007543039779290189,2
CCL,2020-12-31,17.7799999115625,49997117.1875,0.0075938336145033,0.1094740459071276,0.0071567304982482005,3
RUTH,2023-06-30,18.740121935365853,1367292.731707317,0.0077090248889119,0.1382331216718261,0.007129734776620402,4
CCL,2020-06-30,14.983650850825397,70829871.42857143,0.0075954659356709,0.0830054334800563,0.006772705212097756,5
CAKE,2020-06-30,20.220229512063494,4103133.3333333335,0.00691013632755,0.0990428981780219,0.006277530252301952,6
RUTH,2020-09-30,8.700341470609375,1387053.9375,0.005967828699512,0.1158165929995466,0.00591338151936742,7
RUTH,2020-06-30,8.397020695650793,1933610.3015873013,0.0064671421352298,0.0759118916674774,0.00584620768429917,8
CCL,2023-06-30,10.064878021682928,31964070.73170732,0.002863093356685,0.0932706606180515,0.00533584975236128,9
CCL,2022-12-31,8.618730189269842,59172233.333333336,0.0032694821495079,0.0645688064314914,0.005279302170184764,10
RUTH,2021-03-31,20.465732714918037,499988.524590164,0.0060050387611409,0.1872977427081726,0.005236791298437596,11
CCL,2023-03-31,10.357580607629032,41026661.29032258,0.0042839595927731,0.1207061339872423,0.00513942667186173,12
AMZN,2020-06-30,120.78134155666667,93654761.90476193,0.005751432124477,0.2590467410353824,0.005094285326373731,13
CCL,2021-03-31,23.589016272950825,43234265.57377049,0.0039648918367225,0.1052953167590867,0.0048005762033159595,14
MAR,2020-12-31,112.91720258703126,2619156.25,0.0059214136035818,0.2044088551292288,0.004786323821608957,15
UAL,2021-03-31,48.83393459655738,16277826.229508195,0.0052904635729966,0.1454417531219158,0.004782066946437894,16
DAL,2020-12-31,36.3706250490625,16054906.25,0.0048324143341793,0.13616274293899,0.00462587898154285,17
UAL,2020-12-31,40.449999988125,20568764.0625,0.004150924151167,0.1004722505785316,0.004236869967787308,18
AMZN,2023-06-30,107.95512241463416,64804273.17073171,0.0040025844339017,0.1785007495193279,0.004186855394118046,19
CAKE,2020-12-31,32.96943411265625,1171978.125,0.0051927315255821,0.1337824775081664,0.004102136300296446,20
RCL,2022-12-31,52.42492058190476,5407495.238095238,0.0049530512181206,0.1208235826858426,0.004089188094207396,21
DAL,2017-06-30,45.55162847555555,8147049.206349206,0.0026519486353595,0.1705652666816039,0.004062137081451773,22
RCL,2023-03-31,65.97209702790323,3895645.1612903215,0.0048715149055958,0.1694452170933907,0.003943724748063185,23
AMZN,2018-03-31,71.50971315770492,119526327.86885248,0.0036870011740425,0.179767279208752,0.0037537057557449297,24
RCL,2018-09-30,111.94433025,1676917.4603174604,0.0037756558157646,0.2658270090230735,0.0036439188487486568,25
DAL,2021-03-31,44.2401639595082,13402421.31147541,0.0032838447229121,0.1290712815954012,0.0036303852850255586,26
AMZN,2018-06-30,79.37172639375,89836375.0,0.002649690591987,0.148531266168135,0.0036020290286997384,27
AMZN,2018-09-30,94.03467426603176,91600761.90476193,0.0026933509990358,0.1902335034262056,0.0035703849900326173,28
MAR,2017-12-31,117.56967138571429,2489444.4444444445,0.0033844642427866,0.3591006506375838,0.003536396955311484,29
CAKE,2020-09-30,25.205401241875,1830771.875,0.0036539244542333,0.0930040151364632,0.003502017739665536,30
UAL,2020-06-30,29.985714201111108,60270152.38095238,0.0049813812626294,0.0560427637980569,0.0034806704239865715,31
DAL,2022-12-31,33.14285720365079,9959301.587301588,0.0027836416844144,0.1089821580210903,0.003472507727407066,32
UAL,2018-09-30,82.47523825507938,3211995.238095238,0.004012303175504,0.2400591045112704,0.003461092407162438,33
RCL,2019-12-31,114.7938662728125,1566090.625,0.0034591597304602,0.2383155361318552,0.0033919407071379493,34
AMZN,2017-03-31,41.740254136557375,65426852.45901639,0.0027090625494038,0.2662909479156451,0.0033902356091891606,35
WMT,2017-12-31,82.7929020231746,9337338.095238095,0.003933070614352,0.227027907694648,0.003373983285770606,36
RUTH,2017-03-31,16.26279455704918,274803.47540983604,0.0019400822551428,0.0905940196370493,0.0033724318956733106,37
AMZN,2019-03-31,83.2170654047541,103531409.83606558,0.0029760747496982,0.1446205280993511,0.0033451107710972595,38
MAR,2019-12-31,131.663532021875,1405237.5,0.0031897183263705,0.2867446619541811,0.0033365314780747536,39
AMZN,2017-12-31,55.02272996492063,69288666.66666667,0.0032829946211276,0.1620556332119048,0.003239587868432077,40
CCL,2019-12-31,43.87415361390625,4045745.3125,0.0026639778799726,0.1546471984957962,0.003183728874907913,41
DAL,2018-09-30,52.82256032539683,5519207.936507937,0.0026591332199414,0.1796437109169436,0.0031300225634382163,42
RUTH,2018-03-31,21.693019679180328,273596.65573770495,0.0021935150165081,0.1245355320295814,0.0031282059976031236,43
HLT,2019-03-31,77.26701092327869,2821572.131147541,0.0025550644114423,0.147371331562758,0.0030749965728523506,44
CAKE,2018-06-30,47.983413815625,1062237.5,0.0023113716630087,0.1197505787575159,0.003074421794869675,45
AMZN,2023-03-31,96.61483875709676,68340982.25806452,0.0036353987601296,0.1401528646033272,0.003073391503163432,46
HLT,2019-12-31,99.57557332890624,1620767.1875,0.0028336451959831,0.2152552624046184,0.003069352965898918,47
DAL,2017-12-31,49.12044991444445,6660093.650793651,0.0025840648388798,0.1594868359080149,0.0030463415838407875,48
RCL,2023-06-30,69.97780488170731,3389734.146341464,0.0055481236347541,0.2182944284663814,0.0030452194368734203,49
