,Date,ticker,price,volume
0,1/3/2022,HLT,153.6342773,1712700.00
1,1/4/2022,HLT,155.1061859,2043100.00
2,1/5/2022,HLT,150.9689484,1339900.00
3,1/6/2022,HLT,151.3468781,1782200.00
4,1/7/2022,HLT,151.1678467,2040200.00
5,1/10/2022,HLT,147.7964172,2652300.00
6,1/11/2022,HLT,151.6651306,3488300.00
7,1/12/2022,HLT,149.1787872,2010200.00
8,1/13/2022,HLT,149.079361,2234300.00
9,1/14/2022,HLT,147.1698456,2718500.00
10,1/18/2022,HLT,143.7288208,2852600.00
11,1/19/2022,HLT,141.4314575,3131300.00
12,1/20/2022,HLT,141.4612885,2576400.00
13,1/21/2022,HLT,141.4811707,3607400.00
14,1/24/2022,HLT,139.710907,5057500.00
15,1/25/2022,HLT,141.6104736,3976200.00
16,1/26/2022,HLT,144.0271759,2824300.00
17,1/27/2022,HLT,136.4985962,3533500.00
18,1/28/2022,HLT,142.6049957,2367900.00
19,1/31/2022,HLT,144.315567,1615300.00
20,2/1/2022,HLT,144.9222565,2772800.00
21,2/2/2022,HLT,143.7984009,2740300.00
22,2/3/2022,HLT,143.3608246,2838500.00
23,2/4/2022,HLT,144.7034454,3169500.00
24,2/7/2022,HLT,147.8262482,2526200.00
25,2/8/2022,HLT,152.5402985,3102300.00
26,2/9/2022,HLT,152.3016052,2709300.00
27,2/10/2022,HLT,153.3558197,2551100.00
28,2/11/2022,HLT,148.7113647,2798400.00
29,2/14/2022,HLT,150.6009674,4412100.00
30,2/15/2022,HLT,157.1350098,4976700.00
31,2/16/2022,HLT,155.4840851,4808600.00
32,2/17/2022,HLT,152.2021484,3131100.00
33,2/18/2022,HLT,149.5865631,2318000.00
34,2/22/2022,HLT,146.3543701,2991400.00
35,2/23/2022,HLT,142.5850983,3147600.00
36,2/24/2022,HLT,145.2902069,3350000.00
37,2/25/2022,HLT,149.8451385,1949000.00
38,2/28/2022,HLT,148.0450439,3213000.00
39,3/1/2022,HLT,141.3916626,3158400.00
40,3/2/2022,HLT,145.1112061,2066600.00
41,3/3/2022,HLT,141.2325439,2685700.00
42,3/4/2022,HLT,136.9163208,4509900.00
43,3/7/2022,HLT,128.3832855,4207900.00
44,3/8/2022,HLT,133.1868134,5031700.00
45,3/9/2022,HLT,137.7616577,3171000.00
46,3/10/2022,HLT,142.1574707,3309500.00
47,3/11/2022,HLT,140.9938812,1684700.00
48,3/14/2022,HLT,140.7850189,1586700.00
49,3/15/2022,HLT,143.4503479,1581600.00
50,3/16/2022,HLT,149.9644623,4292600.00
51,3/17/2022,HLT,150.3125763,1668200.00
52,3/18/2022,HLT,150.9589996,3060200.00
53,3/21/2022,HLT,149.5269012,1855900.00
54,3/22/2022,HLT,150.5910187,2190600.00
55,3/23/2022,HLT,147.5975037,1267500.00
56,3/24/2022,HLT,151.0584412,1179900.00
57,3/25/2022,HLT,150.6705933,1074600.00
58,3/28/2022,HLT,149.8550568,1250800.00
59,3/29/2022,HLT,154.4597168,2518400.00
60,3/30/2022,HLT,152.3115387,1709600.00
61,3/31/2022,HLT,150.9092712,1814800.00
62,4/1/2022,HLT,149.8849182,1465100.00
63,4/4/2022,HLT,151.5059967,1775200.00
64,4/5/2022,HLT,150.7203217,1595700.00
65,4/6/2022,HLT,144.8128357,2031600.00
66,4/7/2022,HLT,144.7531586,3278700.00
67,4/8/2022,HLT,144.683548,1646700.00
68,4/11/2022,HLT,142.9132996,1165000.00
69,4/12/2022,HLT,144.0868378,1698100.00
70,4/13/2022,HLT,153.0872803,2502500.00
71,4/14/2022,HLT,154.7282715,2351200.00
72,4/18/2022,HLT,155.7128448,1463700.00
73,4/19/2022,HLT,162.2468567,2204000.00
74,4/20/2022,HLT,162.0181274,2113100.00
75,4/21/2022,HLT,156.100708,2268000.00
76,4/22/2022,HLT,152.5104675,1694100.00
77,4/25/2022,HLT,155.0862885,2331000.00
78,4/26/2022,HLT,150.889389,1847200.00
79,4/27/2022,HLT,156.2001495,2516000.00
80,4/28/2022,HLT,160.3373718,1777700.00
81,4/29/2022,HLT,154.4398499,2194400.00
82,5/2/2022,HLT,154.5591736,3287800.00
83,5/3/2022,HLT,148.144516,5154900.00
84,5/4/2022,HLT,150.5611877,3773900.00
85,5/5/2022,HLT,149.069397,3921800.00
86,5/6/2022,HLT,142.6945038,3611500.00
87,5/9/2022,HLT,132.5801697,4418900.00
88,5/10/2022,HLT,137.0356598,3207800.00
89,5/11/2022,HLT,133.7736053,2720600.00
90,5/12/2022,HLT,131.7049713,2247500.00
91,5/13/2022,HLT,135.8422241,2087400.00
