,Date,ticker,price,volume
0,1/3/17,HLT,54.50274277,3328021
1,1/4/17,HLT,56.24410248,5614500
2,1/5/17,HLT,55.58468628,5122200
3,1/6/17,HLT,55.73015213,3359000
4,1/9/17,HLT,55.23558044,3921800
5,1/10/17,HLT,54.3240509,3384700
6,1/11/17,HLT,54.30464935,2781500
7,1/12/17,HLT,53.72281647,7378600
8,1/13/17,HLT,54.51799393,3058600
9,1/17/17,HLT,54.39192581,2828900
10,1/18/17,HLT,55.22589111,2854600
11,1/19/17,HLT,55.7592392,4200900
12,1/20/17,HLT,55.95318604,2350500
13,1/23/17,HLT,56.00167084,2315200
14,1/24/17,HLT,56.34107208,1857100
15,1/25/17,HLT,57.0004921,1993100
16,1/26/17,HLT,56.97140121,2989000
17,1/27/17,HLT,56.77744675,1336000
18,1/30/17,HLT,56.28289413,1719500
19,1/31/17,HLT,55.8368187,2273900
20,2/1/17,HLT,55.61377716,3689900
21,2/2/17,HLT,55.56529617,2620000
22,2/3/17,HLT,56.05015564,1353200
23,2/6/17,HLT,55.97258377,1710400
24,2/7/17,HLT,56.05985641,2061400
25,2/8/17,HLT,56.49622345,1024900
26,2/9/17,HLT,56.86472702,1476800
27,2/10/17,HLT,56.91320419,1191000
28,2/13/17,HLT,57.068367,1915300
29,2/14/17,HLT,56.69987869,2317300
30,2/15/17,HLT,57.65990448,4716200
31,2/16/17,HLT,57.44656372,3145300
32,2/17/17,HLT,56.72895432,2778200
33,2/21/17,HLT,56.26349258,2058800
34,2/22/17,HLT,56.09863281,2581000
35,2/23/17,HLT,55.47801971,1614900
36,2/24/17,HLT,56.03076553,1511300
37,2/27/17,HLT,56.26349258,1396000
38,2/28/17,HLT,55.46833038,2634800
39,3/1/17,HLT,55.95318604,2753700
40,3/2/17,HLT,56.40895844,2835800
41,3/3/17,HLT,56.00167084,3303400
42,3/6/17,HLT,55.57498932,1804300
43,3/7/17,HLT,54.92527008,2394200
44,3/8/17,HLT,54.73081207,2710800
45,3/9/17,HLT,54.29327774,1606800
46,3/10/17,HLT,54.9155426,2443200
47,3/13/17,HLT,55.91701508,1811900
48,3/14/17,HLT,55.70310974,1818300
49,3/15/17,HLT,56.5392952,1993500
50,3/16/17,HLT,56.59762955,1580700
51,3/17/17,HLT,56.31566238,1267500
52,3/20/17,HLT,55.90729904,999800
53,3/21/17,HLT,55.11973572,2149600
54,3/22/17,HLT,56.10176086,1514500
55,3/23/17,HLT,56.70458603,1996900
56,3/24/17,HLT,56.69487,1066700
57,3/27/17,HLT,56.24759293,2572000
58,3/28/17,HLT,57.04488373,1871500
59,3/29/17,HLT,56.98655319,1549100
60,3/30/17,HLT,57.14212036,1965400
61,3/31/17,HLT,56.84070587,2283900
62,4/3/17,HLT,56.02397537,3273200
63,4/4/17,HLT,55.48921204,2188500
64,4/5/17,HLT,55.17807007,2314200
65,4/6/17,HLT,55.51838303,1107200
66,4/7/17,HLT,55.03221512,3066200
67,4/10/17,HLT,55.59616852,2651000
68,4/11/17,HLT,55.88784409,1369500
69,4/12/17,HLT,55.82951736,1929600
70,4/13/17,HLT,55.52810287,2129200
71,4/17/17,HLT,55.74201202,1965800
72,4/18/17,HLT,55.28502274,1730100
73,4/19/17,HLT,55.34336853,1939800
74,4/20/17,HLT,55.9948082,5217200
